Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,year,id
Belarus,59,5.813,1.03192,0.73608,0.37938,0.1909,0.11046,2015,112
Belarus,61,5.802,1.13062,0.63104,0.29091,0.17457,0.13942,2016,112
Belarus,67,5.568999767,1.15655756,0.637714267,0.295400262,0.156313822,0.155137509,2017,112
Belarus,73,5.483,1.039,0.7,0.307,0.154,0.101,2018,112
Belarus,81,5.323,1.067,0.789,0.235,0.142,0.094,2019,112
Belgium,19,6.937,1.30782,0.89667,0.5845,0.2254,0.2225,2015,56
Belgium,18,6.929,1.42539,0.81959,0.51354,0.26248,0.2424,2016,56
Belgium,17,6.890999794,1.463780761,0.818091869,0.539770722,0.251343131,0.231503338,2017,56
Belgium,16,6.927,1.324,0.894,0.583,0.24,0.188,2018,56
Belgium,18,6.923,1.356,0.986,0.473,0.21,0.16,2019,56
Belize,,,,,,,,2015,84
Belize,52,5.956,0.87616,0.45569,0.51231,0.10771,0.23684,2016,84
Belize,50,5.955999851,0.907975316,0.450191766,0.547509372,0.096581072,0.240015641,2017,84
Belize,49,5.956,0.807,0.474,0.593,0.089,0.183,2018,84
Belize,,,,,,,,2019,84
Benin,155,3.34,0.28665,0.3191,0.4845,0.0801,0.1826,2015,204
Benin,153,3.484,0.39499,0.21028,0.39747,0.06681,0.2018,2016,204
Benin,143,3.657000065,0.431085408,0.209930211,0.425962776,0.060929015,0.207948461,2017,204
Benin,136,4.141,0.378,0.24,0.44,0.067,0.163,2018,204
Benin,102,4.883,0.393,0.397,0.349,0.082,0.175,2019,204
Bermuda (United Kingdom),,,,,,,,2015,60
Bermuda (United Kingdom),,,,,,,,2016,60
Bermuda (United Kingdom),,,,,,,,2017,60
Bermuda (United Kingdom),,,,,,,,2018,60
Bermuda (United Kingdom),,,,,,,,2019,60
Bhutan,79,5.253,0.77042,0.57407,0.53206,0.15445,0.47998,2015,64
Bhutan,84,5.196,0.8527,0.49759,0.46074,0.1616,0.48546,2016,64
Bhutan,97,5.011000156,0.885416389,0.495879292,0.501537681,0.17338039,0.474054545,2017,64
Bhutan,97,5.082,0.796,0.527,0.541,0.171,0.364,2018,64
Bhutan,95,5.082,0.813,0.604,0.457,0.167,0.37,2019,64
Bolivia,51,5.89,0.68133,0.5392,0.57414,0.088,0.20536,2015,68
Bolivia,59,5.822,0.79422,0.4697,0.50961,0.07746,0.21698,2016,68
Bolivia,58,5.822999954,0.833756566,0.47363025,0.558732927,0.060477726,0.225560725,2017,68
Bolivia,62,5.752,0.751,0.508,0.606,0.054,0.141,2018,68
Bolivia,61,5.779,0.776,0.706,0.511,0.064,0.137,2019,68
Bosnia and Herzegovina,96,4.949,0.83223,0.79081,0.09245,0.00227,0.24808,2015,70
Bosnia and Herzegovina,87,5.163,0.93383,0.70766,0.09511,0,0.29889,2016,70
Bosnia and Herzegovina,90,5.18200016,0.982409418,0.705186307,0.204403177,0,0.328867495,2017,70
Bosnia and Herzegovina,93,5.129,0.915,0.758,0.28,0,0.216,2018,70
Bosnia and Herzegovina,78,5.386,0.945,0.845,0.212,0.006,0.263,2019,70
Botswana,128,4.332,0.99355,0.04776,0.49495,0.12474,0.10461,2015,72
Botswana,137,3.974,1.09426,0.34752,0.44089,0.10769,0.12425,2016,72
Botswana,142,3.766000032,1.122094154,0.341755509,0.505196333,0.098583199,0.099348448,2017,72
Botswana,146,3.59,1.017,0.417,0.557,0.092,0.042,2018,72
Botswana,148,3.488,1.041,0.538,0.455,0.1,0.025,2019,72
Brazil,16,6.983,0.98124,0.69702,0.49049,0.17521,0.14574,2015,76
Brazil,17,6.952,1.08754,0.61415,0.40425,0.14166,0.15776,2016,76
Brazil,22,6.635000229,1.10735321,0.616552353,0.437453747,0.111092761,0.162349895,2017,76
Brazil,28,6.419,0.986,0.675,0.493,0.088,0.11,2018,76
Brazil,32,6.3,1.004,0.802,0.39,0.086,0.099,2019,76
British Virgin Islands (United Kingdom),,,,,,,,2015,92
British Virgin Islands (United Kingdom),,,,,,,,2016,92
British Virgin Islands (United Kingdom),,,,,,,,2017,92
British Virgin Islands (United Kingdom),,,,,,,,2018,92
British Virgin Islands (United Kingdom),,,,,,,,2019,92
Brunei,,,,,,,,2015,96
Brunei,,,,,,,,2016,96
Brunei,,,,,,,,2017,96
Brunei,,,,,,,,2018,96
Brunei,,,,,,,,2019,96
Bulgaria,134,4.218,1.01216,0.76649,0.30587,0.00872,0.11921,2015,100
Bulgaria,129,4.217,1.11306,0.67806,0.21219,0.00615,0.12793,2016,100
Bulgaria,105,4.714000225,1.161459088,0.70821768,0.289231718,0.011051531,0.113177694,2017,100
Bulgaria,100,4.933,1.054,0.712,0.359,0.009,0.064,2018,100
Bulgaria,97,5.011,1.092,0.815,0.311,0.004,0.081,2019,100
Burkina Faso,152,3.587,0.25812,0.27125,0.39493,0.12832,0.21747,2015,854
Burkina Faso,145,3.739,0.31995,0.21297,0.3337,0.12533,0.24353,2016,854
Burkina Faso,134,4.032000065,0.350227714,0.215844259,0.324367851,0.120328106,0.250864685,2017,854
Burkina Faso,121,4.424,0.314,0.254,0.312,0.128,0.175,2018,854
Burkina Faso,115,4.587,0.331,0.38,0.255,0.113,0.177,2019,854
Burundi,157,2.905,0.0153,0.22396,0.1185,0.10062,0.19727,2015,108
Burundi,157,2.905,0.06831,0.15747,0.0432,0.09419,0.2029,2016,108
Burundi,154,2.904999971,0.091622569,0.151610792,0.059900753,0.084147945,0.204435185,2017,108
Burundi,156,2.905,0.091,0.145,0.065,0.076,0.149,2018,108
Burundi,145,3.775,0.046,0.38,0.22,0.18,0.176,2019,108
Cambodia,145,3.819,0.46038,0.61114,0.66246,0.07247,0.40359,2015,116
Cambodia,140,3.907,0.55604,0.42494,0.58852,0.08092,0.40339,2016,116
Cambodia,129,4.168000221,0.601765096,0.429783404,0.633375823,0.068105951,0.385922968,2017,116
Cambodia,120,4.433,0.549,0.457,0.696,0.065,0.256,2018,116
Cambodia,109,4.7,0.574,0.637,0.609,0.062,0.232,2019,116
Cameroon,133,4.252,0.4225,0.23402,0.49309,0.05786,0.20618,2015,120
Cameroon,114,4.513,0.52497,0.12698,0.42736,0.06126,0.2268,2016,120
Cameroon,107,4.695000172,0.564305365,0.132892117,0.430388749,0.051306631,0.236298457,2017,120
Cameroon,99,4.975,0.535,0.182,0.454,0.043,0.183,2018,120
Cameroon,96,5.044,0.549,0.331,0.381,0.037,0.187,2019,120
Canada,5,7.427,1.32629,0.90563,0.63297,0.32957,0.45811,2015,124
Canada,6,7.404,1.44015,0.8276,0.5737,0.31329,0.44834,2016,124
Canada,7,7.315999985,1.479204416,0.834557652,0.611100912,0.287371516,0.435539722,2017,124
Canada,7,7.328,1.33,0.896,0.653,0.291,0.321,2018,124
Canada,9,7.278,1.365,1.039,0.584,0.308,0.285,2019,124
Cape Verde,,,,,,,,2015,132
Cape Verde,,,,,,,,2016,132
Cape Verde,,,,,,,,2017,132
Cape Verde,,,,,,,,2018,132
Cape Verde,,,,,,,,2019,132
Cayman Islands (United Kingdom),,,,,,,,2015,136
Cayman Islands (United Kingdom),,,,,,,,2016,136
Cayman Islands (United Kingdom),,,,,,,,2017,136
Cayman Islands (United Kingdom),,,,,,,,2018,136
Cayman Islands (United Kingdom),,,,,,,,2019,136
Central African Republic,148,3.678,0.0785,0.06699,0.48879,0.08289,0.23835,2015,140
Central African Republic,,,,,,,,2016,140
Central African Republic,155,2.693000078,0,0.018772686,0.270842046,0.056565076,0.280876487,2017,140
Central African Republic,155,3.083,0.024,0.01,0.305,0.038,0.218,2018,140
Central African Republic,155,3.083,0.026,0.105,0.225,0.035,0.235,2019,140
Chad,149,3.667,0.34193,0.1501,0.23501,0.05269,0.18386,2015,148
Chad,144,3.763,0.42214,0.03824,0.12807,0.04952,0.18667,2016,148
Chad,137,3.936000109,0.438012987,0.041134715,0.162342027,0.053581882,0.21611385,2017,148
Chad,131,4.301,0.358,0.053,0.189,0.06,0.181,2018,148
Chad,132,4.35,0.35,0.192,0.174,0.078,0.198,2019,148
Chile,27,6.67,1.10715,0.85857,0.44132,0.12869,0.33363,2015,152
Chile,24,6.705,1.2167,0.81883,0.37789,0.11451,0.31595,2016,152
Chile,20,6.65199995,1.25278461,0.819479704,0.376895279,0.082287982,0.326662421,2017,152
Chile,25,6.476,1.131,0.808,0.431,0.061,0.197,2018,152
Chile,26,6.444,1.159,0.92,0.357,0.056,0.187,2019,152
China[a],,,,,,,,2015,156
China[a],,,,,,,,2016,156
China[a],,,,,,,,2017,156
China[a],,,,,,,,2018,156
China[a],,,,,,,,2019,156
Colombia,33,6.477,0.91861,0.69077,0.53466,0.0512,0.18401,2015,170
Colombia,31,6.481,1.03032,0.59659,0.44735,0.05399,0.15626,2016,170
Colombia,36,6.356999874,1.070622325,0.595027924,0.477487415,0.046668742,0.149014473,2017,170
Colombia,37,6.26,0.96,0.635,0.531,0.039,0.099,2018,170
Colombia,43,6.125,0.985,0.841,0.47,0.034,0.099,2019,170
Comoros,140,3.956,0.23906,0.36315,0.22917,0.199,0.17441,2015,174
Comoros,138,3.956,0.27509,0.29981,0.15412,0.18437,0.1827,2016,174
Comoros,,,,,,,,2017,174
Comoros,,,,,,,,2018,174
Comoros,142,3.973,0.274,0.505,0.142,0.078,0.275,2019,174
Congo,,,,,,,,2015,178
Congo,,,,,,,,2016,178
Congo,,,,,,,,2017,178
Congo,,,,,,,,2018,178
Congo,,,,,,,,2019,178
Cook Islands (New Zealand),,,,,,,,2015,184
Cook Islands (New Zealand),,,,,,,,2016,184
Cook Islands (New Zealand),,,,,,,,2017,184
Cook Islands (New Zealand),,,,,,,,2018,184
Cook Islands (New Zealand),,,,,,,,2019,184
Costa Rica,12,7.226,0.95578,0.86027,0.63376,0.10583,0.25497,2015,188
Costa Rica,14,7.087,1.06879,0.76146,0.55225,0.10547,0.22553,2016,188
Costa Rica,12,7.078999996,1.109706283,0.759509265,0.58013165,0.100106589,0.214613229,2017,188
Costa Rica,13,7.072,1.01,0.817,0.632,0.101,0.143,2018,188
Costa Rica,12,7.167,1.034,0.963,0.558,0.093,0.144,2019,188
Croatia,62,5.759,1.08254,0.78805,0.25883,0.0243,0.05444,2015,191
Croatia,74,5.488,1.18649,0.70524,0.23907,0.04002,0.18434,2016,191
Croatia,77,5.293000221,1.222556233,0.701288521,0.255772293,0.04310311,0.248002976,2017,191
Croatia,82,5.321,1.115,0.737,0.38,0.039,0.12,2018,191
Croatia,75,5.432,1.155,0.914,0.296,0.022,0.119,2019,191
Cuba,,,,,,,,2015,192
Cuba,,,,,,,,2016,192
Cuba,,,,,,,,2017,192
Cuba,,,,,,,,2018,192
Cuba,,,,,,,,2019,192
Curaçao (Netherlands),,,,,,,,2015,531
Curaçao (Netherlands),,,,,,,,2016,531
Curaçao (Netherlands),,,,,,,,2017,531
Curaçao (Netherlands),,,,,,,,2018,531
Curaçao (Netherlands),,,,,,,,2019,531
Cyprus[t],,,,,,,,2015,196
Cyprus[t],,,,,,,,2016,196
Cyprus[t],,,,,,,,2017,196
Cyprus[t],,,,,,,,2018,196
Cyprus[t],,,,,,,,2019,196
Czech Republic,31,6.505,1.17898,0.84483,0.46364,0.02652,0.10686,2015,203
Czech Republic,27,6.596,1.30915,0.76376,0.41418,0.03986,0.09929,2016,203
Czech Republic,23,6.609000206,1.352682352,0.754444003,0.490946174,0.036872927,0.088106759,2017,203
Czech Republic,21,6.711,1.233,0.854,0.543,0.034,0.064,2018,203
Czech Republic,20,6.852,1.269,0.92,0.457,0.036,0.046,2019,203
Denmark,3,7.527,1.32548,0.87464,0.64938,0.48357,0.34139,2015,208
Denmark,1,7.526,1.44178,0.79504,0.57941,0.44453,0.36171,2016,208
Denmark,2,7.521999836,1.482383013,0.792565525,0.626006722,0.400770068,0.355280489,2017,208
Denmark,3,7.555,1.351,0.868,0.683,0.408,0.284,2018,208
Denmark,2,7.6,1.383,0.996,0.592,0.41,0.252,2019,208
Djibouti,126,4.369,0.44025,0.36291,0.46074,0.28105,0.18093,2015,262
Djibouti,,,,,,,,2016,262
Djibouti,,,,,,,,2017,262
Djibouti,,,,,,,,2018,262
Djibouti,,,,,,,,2019,262
Dominica,,,,,,,,2015,212
Dominica,,,,,,,,2016,212
Dominica,,,,,,,,2017,212
Dominica,,,,,,,,2018,212
Dominica,,,,,,,,2019,212
Dominican Republic,98,4.885,0.89537,0.66825,0.57672,0.14234,0.21684,2015,214
Dominican Republic,89,5.155,1.02787,0.57669,0.52259,0.12372,0.21286,2016,214
Dominican Republic,86,5.230000019,1.079373837,0.574873745,0.552589834,0.113945253,0.18696785,2017,214
Dominican Republic,83,5.302,0.982,0.614,0.578,0.106,0.12,2018,214
Dominican Republic,77,5.425,1.015,0.779,0.497,0.101,0.113,2019,214
DR Congo,,,,,,,,2015,180
DR Congo,,,,,,,,2016,180
DR Congo,,,,,,,,2017,180
DR Congo,,,,,,,,2018,180
DR Congo,,,,,,,,2019,180
East Timor,,,,,,,,2015,626
East Timor,,,,,,,,2016,626
East Timor,,,,,,,,2017,626
East Timor,,,,,,,,2018,626
East Timor,,,,,,,,2019,626
Ecuador,48,5.975,0.86402,0.79075,0.48574,0.1809,0.11541,2015,218
Ecuador,51,5.976,0.97306,0.68613,0.4027,0.18037,0.10074,2016,218
Ecuador,44,6.007999897,1.000820398,0.685636222,0.455198199,0.140134647,0.150112465,2017,218
Ecuador,48,5.973,0.889,0.736,0.556,0.12,0.114,2018,218
Ecuador,50,6.028,0.912,0.868,0.498,0.087,0.126,2019,218
Egypt,135,4.194,0.8818,0.61712,0.17288,0.06324,0.11291,2015,818
Egypt,120,4.362,0.95395,0.52116,0.18847,0.10393,0.12706,2016,818
Egypt,104,4.735000134,0.989701807,0.520187259,0.282110155,0.114381365,0.128631443,2017,818
Egypt,122,4.419,0.885,0.553,0.312,0.107,0.092,2018,818
Egypt,137,4.166,0.913,0.644,0.241,0.067,0.076,2019,818
El Salvador,42,6.13,0.76454,0.67737,0.4035,0.11776,0.10692,2015,222
El Salvador,46,6.068,0.8737,0.596,0.37269,0.10613,0.08877,2016,222
El Salvador,45,6.002999783,0.909784496,0.596018553,0.43245253,0.08998096,0.078257985,2017,222
El Salvador,40,6.167,0.806,0.639,0.461,0.082,0.065,2018,222
El Salvador,35,6.253,0.794,0.789,0.43,0.074,0.093,2019,222
Equatorial Guinea,,,,,,,,2015,226
Equatorial Guinea,,,,,,,,2016,226
Equatorial Guinea,,,,,,,,2017,226
Equatorial Guinea,,,,,,,,2018,226
Equatorial Guinea,,,,,,,,2019,226
Eritrea,,,,,,,,2015,232
Eritrea,,,,,,,,2016,232
Eritrea,,,,,,,,2017,232
Eritrea,,,,,,,,2018,232
Eritrea,,,,,,,,2019,232
Estonia,73,5.429,1.15174,0.77361,0.44888,0.15184,0.0868,2015,233
Estonia,72,5.517,1.27964,0.68098,0.41511,0.18519,0.08423,2016,233
Estonia,66,5.611000061,1.32087934,0.695168316,0.47913143,0.183248922,0.098890811,2017,233
Estonia,63,5.739,1.2,0.737,0.553,0.174,0.086,2018,233
Estonia,55,5.893,1.237,0.874,0.495,0.161,0.103,2019,233
Eswatini,,,,,,,,2015,748
Eswatini,,,,,,,,2016,748
Eswatini,,,,,,,,2017,748
Eswatini,,,,,,,,2018,748
Eswatini,,,,,,,,2019,748
Ethiopia,122,4.512,0.19073,0.44055,0.4345,0.15048,0.24325,2015,231
Ethiopia,115,4.508,0.29283,0.34578,0.36703,0.1717,0.29522,2016,231
Ethiopia,119,4.460000038,0.339233845,0.353409708,0.408842742,0.165455714,0.31265074,2017,231
Ethiopia,127,4.35,0.308,0.391,0.452,0.146,0.22,2018,231
Ethiopia,134,4.286,0.336,0.532,0.344,0.1,0.209,2019,231
F.S. Micronesia,,,,,,,,2015,583
F.S. Micronesia,,,,,,,,2016,583
F.S. Micronesia,,,,,,,,2017,583
F.S. Micronesia,,,,,,,,2018,583
F.S. Micronesia,,,,,,,,2019,583
Fiji,,,,,,,,2015,242
Fiji,,,,,,,,2016,242
Fiji,,,,,,,,2017,242
Fiji,,,,,,,,2018,242
Fiji,,,,,,,,2019,242
Finland[n],,,,,,,,2015,246
Finland[n],,,,,,,,2016,246
Finland[n],,,,,,,,2017,246
Finland[n],,,,,,,,2018,246
Finland[n],,,,,,,,2019,246
France[b],,,,,,,,2015,250
France[b],,,,,,,,2016,250
France[b],,,,,,,,2017,250
France[b],,,,,,,,2018,250
France[b],,,,,,,,2019,250
French Polynesia (France),,,,,,,,2015,258
French Polynesia (France),,,,,,,,2016,258
French Polynesia (France),,,,,,,,2017,258
French Polynesia (France),,,,,,,,2018,258
French Polynesia (France),,,,,,,,2019,258
Gabon,143,3.896,1.06024,0.43372,0.31914,0.11091,0.06822,2015,266
Gabon,134,4.121,1.15851,0.3494,0.28098,0.09314,0.06244,2016,266
Gabon,118,4.465000153,1.198210239,0.356578588,0.312328577,0.076046787,0.043785378,2017,266
Gabon,103,4.758,1.036,0.404,0.356,0.052,0.032,2018,266
Gabon,104,4.799,1.057,0.571,0.295,0.055,0.043,2019,266
Gambia,,,,,,,,2015,270
Gambia,,,,,,,,2016,270
Gambia,,,,,,,,2017,270
Gambia,,,,,,,,2018,270
Gambia,120,4.516,0.308,0.428,0.382,0.167,0.269,2019,270
Georgia[r],,,,,,,,2015,268
Georgia[r],,,,,,,,2016,268
Georgia[r],,,,,,,,2017,268
Georgia[r],,,,,,,,2018,268
Georgia[r],,,,,,,,2019,268
Germany,26,6.75,1.32792,0.89186,0.61477,0.21843,0.28214,2015,276
Germany,16,6.994,1.44787,0.81487,0.53466,0.28551,0.30452,2016,276
Germany,16,6.951000214,1.487923384,0.798950732,0.562511384,0.276731938,0.33626917,2017,276
Germany,15,6.965,1.34,0.861,0.586,0.28,0.273,2018,276
Germany,17,6.985,1.373,0.987,0.495,0.265,0.261,2019,276
Ghana,114,4.633,0.54558,0.40132,0.42342,0.04355,0.23087,2015,288
Ghana,124,4.276,0.63107,0.29681,0.40973,0.0326,0.21203,2016,288
Ghana,131,4.119999886,0.667224824,0.295637727,0.423026294,0.02533637,0.256923944,2017,288
Ghana,108,4.657,0.592,0.337,0.499,0.029,0.212,2018,288
Ghana,98,4.996,0.611,0.486,0.381,0.04,0.245,2019,288
Greece,102,4.857,1.15406,0.88213,0.07699,0.01397,0,2015,300
Greece,99,5.033,1.24886,0.80029,0.05822,0.04127,0,2016,300
Greece,87,5.227000237,1.289487481,0.810198903,0.095731251,0.043289777,0,2017,300
Greece,79,5.358,1.154,0.879,0.131,0.044,0,2018,300
Greece,82,5.287,1.181,0.999,0.067,0.034,0,2019,300
Greenland (Denmark),,,,,,,,2015,304
Greenland (Denmark),,,,,,,,2016,304
Greenland (Denmark),,,,,,,,2017,304
Greenland (Denmark),,,,,,,,2018,304
Greenland (Denmark),,,,,,,,2019,304
Grenada,,,,,,,,2015,308
Grenada,,,,,,,,2016,308
Grenada,,,,,,,,2017,308
Grenada,,,,,,,,2018,308
Grenada,,,,,,,,2019,308
Guatemala,43,6.123,0.74553,0.64425,0.57733,0.09472,0.27489,2015,320
Guatemala,39,6.324,0.83454,0.54039,0.50379,0.08701,0.28808,2016,320
Guatemala,29,6.453999996,0.872001946,0.54023999,0.531310618,0.077223279,0.283488393,2017,320
Guatemala,30,6.382,0.781,0.608,0.604,0.071,0.179,2018,320
Guatemala,27,6.436,0.8,0.746,0.535,0.078,0.175,2019,320
Guinea,150,3.656,0.17417,0.24009,0.37725,0.12139,0.28657,2015,324
Guinea,151,3.607,0.22415,0.18829,0.30953,0.1192,0.29914,2016,324
Guinea,149,3.506999969,0.24454993,0.194129139,0.348587513,0.110937618,0.264815092,2017,324
Guinea,140,3.964,0.344,0.211,0.394,0.094,0.185,2018,324
Guinea,118,4.534,0.38,0.375,0.332,0.086,0.207,2019,324
Guinea-Bissau,,,,,,,,2015,624
Guinea-Bissau,,,,,,,,2016,624
Guinea-Bissau,,,,,,,,2017,624
Guinea-Bissau,,,,,,,,2018,624
Guinea-Bissau,,,,,,,,2019,624
Guyana,,,,,,,,2015,328
Guyana,,,,,,,,2016,328
Guyana,,,,,,,,2017,328
Guyana,,,,,,,,2018,328
Guyana,,,,,,,,2019,328
Haiti,119,4.518,0.26673,0.38847,0.24425,0.17175,0.46187,2015,332
Haiti,136,4.028,0.34097,0.27494,0.12072,0.14476,0.47958,2016,332
Haiti,145,3.602999926,0.368610263,0.27732113,0.030369857,0.09987215,0.489203781,2017,332
Haiti,148,3.582,0.315,0.289,0.025,0.104,0.392,2018,332
Haiti,147,3.597,0.323,0.449,0.026,0.11,0.419,2019,332
Honduras,105,4.788,0.59532,0.6951,0.40148,0.06825,0.23027,2015,340
Honduras,104,4.871,0.69429,0.58383,0.26755,0.06906,0.2044,2016,340
Honduras,91,5.181000233,0.730573118,0.58256948,0.34807986,0.073345453,0.236188874,2017,340
Honduras,72,5.504,0.62,0.622,0.459,0.074,0.197,2018,340
Honduras,59,5.86,0.642,0.828,0.507,0.078,0.246,2019,340
Hong Kong (China)[m],,,,,,,,2015,344
Hong Kong (China)[m],,,,,,,,2016,344
Hong Kong (China)[m],,,,,,,,2017,344
Hong Kong (China)[m],,,,,,,,2018,344
Hong Kong (China)[m],,,,,,,,2019,344
Hungary,104,4.8,1.12094,0.75905,0.32112,0.02758,0.128,2015,348
Hungary,91,5.145,1.24142,0.67608,0.1977,0.04472,0.099,2016,348
Hungary,75,5.323999882,1.286011934,0.687763453,0.175863519,0.036636937,0.078401662,2017,348
Hungary,69,5.62,1.171,0.732,0.259,0.022,0.061,2018,348
Hungary,62,5.758,1.201,0.828,0.199,0.02,0.081,2019,348
Iceland,2,7.561,1.30232,0.94784,0.62877,0.14145,0.4363,2015,352
Iceland,3,7.501,1.42666,0.86733,0.56624,0.14975,0.47678,2016,352
Iceland,3,7.504000187,1.48063302,0.833552122,0.627162635,0.153526559,0.475540221,2017,352
Iceland,4,7.495,1.343,0.914,0.677,0.138,0.353,2018,352
Iceland,4,7.494,1.38,1.026,0.591,0.118,0.354,2019,352
India,117,4.565,0.64499,0.51529,0.39786,0.08492,0.26475,2015,356
India,118,4.404,0.74036,0.45091,0.40285,0.08722,0.25028,2016,356
